city,population,region_code,region_name,quintile
Tigard,56392,2,Metro,5
Tillamook,5198,1,N. Coast,4
Toledo,3654,5,C. Coast,4
Troutdale,15790,2,Metro,5
Turner,2872,3,N. Willamette,3
Ukiah,277,11,NE Oregon,1
Umatilla,8617,11,NE Oregon,4
Unity,40,12,E. Oregon,1
Vale,1870,12,E. Oregon,3
Veneta,5300,4,S. Willamette,4
Vernonia,2433,1,N. Coast,3
Waldport,2339,5,C. Coast,3
Warrenton,6446,1,N. Coast,4
Waterloo,219,4,S. Willamette,1
West Linn,27568,2,Metro,5
Westfir,261,4,S. Willamette,1
Weston,707,11,NE Oregon,2
Wheeler,428,1,N. Coast,1
Willamina,2310,3,N. Willamette,3
Wilsonville,27048,2,Metro,5
Winston,5666,7,S. Oregon,4
Wood Village,4388,2,Metro,4
Woodburn,29455,3,N. Willamette,5
Yachats,1003,5,C. Coast,2
Yamhill,1309,3,N. Willamette,2
